steps,num_customers,num_products,num_retailers,num_customers_willing_to_share_info,learning_rate_gen_ai,learning_rate_customer,capacity_gen_ai,creativity_gen_ai,total_steps,LowSatisfaction,MediumSatisfaction,HighSatisfaction,Sales,Sales (Willing),Sales (Unwilling),Sold Products,Sold Products (Willing),Sold Products (Unwilling),Average Seller Rating,Average Satisfaction,Willing to Share Customers,Unwilling to Share Customers,Number of Products,mean_purchase_position,AIC Linear (Sum),AIC Quadratic (Sum),AIC Cubic (Sum),AIC Quartic (Sum),AIC Quartic (Minimum)
1,100,100,20,100,0.9,0.3,0.3,0.289097016744064,1000,30,69,1,473.2800545210222,473.2800545210222,0,223,223,0,0.721239411792695,0.4870226685076271,100,0,100,52.33733333333333,-73.0228594084295,-68.74054714456076,-80.79752366001384,-78.14598186255569,-80.79752366001384
2,100,100,20,100,0.9,0.3,0.3,0.29130912214118,1000,33,58,9,494.97624389550754,494.97624389550754,0,237,237,0,0.8287394117926951,0.4882226685076272,100,0,100,52.17783333333334,-62.993059719595095,-58.1028480242002,-56.00675511488734,-51.086739067333696,-80.79752366001384
3,100,100,20,100,0.9,0.3,0.3,0.29644126809211757,1000,41,44,15,491.3382363241125,491.3382363241125,0,225,225,0,0.977330288142185,0.49102266850762716,100,0,100,52.248500000000014,-42.982981675483416,-39.16892592281522,-33.17758981501453,-26.060203484088504,-80.79752366001384
4,100,100,20,100,0.9,0.3,0.3,0.326358560416988,1000,41,41,18,557.3462405244569,557.3462405244569,0,251,251,0,1.060402147994378,0.5079061999033179,100,0,100,47.668666666666674,-28.384427051932278,-27.81524714778459,-29.41956907851727,-32.39356241181923,-80.79752366001384
5,100,100,20,100,0.9,0.3,0.3,0.353456689364396,1000,41,32,27,519.8828104405101,519.8828104405101,0,251,251,0,1.1519021479943785,0.5236735022251373,100,0,100,48.40466666666667,-22.13237174672733,-24.161973873431833,-38.53989688801764,-30.938463285914708,-80.79752366001384
6,100,100,20,100,0.9,0.3,0.3,0.38325280973695236,1000,46,23,31,620.2508879204718,620.2508879204718,0,275,275,0,1.2078622202055354,0.5416042872670273,100,0,100,48.559333333333335,-8.329714811516794,-8.757229125435856,-18.757669537240588,-20.76137889427889,-80.79752366001384
7,100,100,20,100,0.9,0.3,0.3,0.41226958931303026,1000,45,23,32,561.9666286350619,561.9666286350619,0,266,266,0,1.225059551060697,0.5596478176733157,100,0,100,47.309333333333335,0.5009308407471167,1.4289135894243543,-1.488994807234036,-1.720258194929528,-80.79752366001384
8,100,100,20,100,0.9,0.3,0.3,0.45973079665550015,1000,45,20,35,602.7117117272304,602.7117117272304,0,272,272,0,1.2515857822744998,0.5908036563778003,100,0,100,46.15983333333334,9.565065371344218,2.915602711328546,3.2727588134247014,8.62727676593724,-80.79752366001384
9,100,100,20,100,0.9,0.3,0.3,0.5045462672199702,1000,45,20,35,613.4464395461816,613.4464395461816,0,277,277,0,1.2879926718926942,0.6217643940436898,100,0,100,48.24083333333333,1.1261871563972647,-2.7864185615254655,-5.0164901336248136,-5.634264790584439,-80.79752366001384
10,100,100,20,100,0.9,0.3,0.3,0.5607005396323761,1000,42,23,35,651.7839326259352,651.7839326259352,0,297,297,0,1.329492671892694,0.6631401171385721,100,0,100,46.08483333333333,5.200493059526167,-0.49309655586534973,-7.799685253600728,-13.217516115567378,-80.79752366001384
11,100,100,20,100,0.9,0.3,0.3,0.6033585087062394,1000,42,23,35,679.8348230697068,679.8348230697068,0,294,294,0,1.3809926718926941,0.6961353624293893,100,0,100,48.30116666666666,9.443573413298708,1.530571290960097,-8.075171400960983,-14.331447476058088,-80.79752366001384
12,100,100,20,100,0.9,0.3,0.3,0.6615517128994908,1000,41,18,41,742.5660348700595,742.5660348700595,0,315,315,0,1.4229926718926944,0.7442584561057397,100,0,100,44.61683333333333,14.797172516563222,10.879559684579249,-5.664786387805236,-4.151850437233634,-80.79752366001384
13,100,100,20,100,0.9,0.3,0.3,0.713725067518308,1000,41,15,44,737.4154438223837,737.4154438223837,0,309,309,0,1.488492671892694,0.7900584561057397,100,0,100,44.86333333333333,12.101058238647028,13.119988455604016,3.752342649426282,1.6937185252881477,-80.79752366001384
14,100,100,20,100,0.9,0.3,0.3,0.7687715915523946,1000,41,12,47,774.2921443165258,774.2921443165258,0,333,333,0,1.5379926718926942,0.8415287121960435,100,0,100,45.29316666666666,25.82147974992364,13.417267037635554,1.0969627850751067,-3.3671625966585452,-80.79752366001384
15,100,100,20,100,0.9,0.3,0.3,0.8212430479414472,1000,41,11,48,825.0562496070503,825.0562496070503,0,334,334,0,1.6009926718926941,0.8936287121960435,100,0,100,44.6385,31.01280146408004,25.135024927840533,12.262535421999218,12.060880123380372,-80.79752366001384
16,100,100,20,100,0.9,0.3,0.3,0.8710036687928046,1000,39,11,50,801.1918087653368,801.1918087653368,0,336,336,0,1.6544926718926942,0.9459287121960435,100,0,100,44.36816666666667,24.347682201599014,20.815284437031863,13.775323831360168,11.629696193207195,-80.79752366001384
17,100,100,20,100,0.9,0.3,0.3,0.9250218035644675,1000,39,10,51,849.0315588667632,849.0315588667632,0,354,354,0,1.722492671892694,1.0063287121960434,100,0,100,42.49283333333334,29.702176573345923,26.20353812698235,16.327607230929146,10.506806010805775,-80.79752366001384
18,100,100,20,100,0.9,0.3,0.3,0.9749453689716413,1000,39,8,53,879.4235260324158,879.4235260324158,0,351,351,0,1.7854926718926944,1.0654287121960435,100,0,100,41.123000000000005,37.459453724079026,22.675310034901173,17.559749858788308,6.125610467107009,-80.79752366001384
19,100,100,20,100,0.9,0.3,0.3,1.0214102665065825,1000,39,8,53,844.3699668788375,844.3699668788375,0,351,351,0,1.8404926718926944,1.1234287121960436,100,0,100,41.19166666666667,37.93571968992245,15.866902588116773,-6.724304477831907,-8.125599001243671,-80.79752366001384
20,100,100,20,100,0.9,0.3,0.3,1.06646244514096,1000,39,7,54,901.2822054784526,901.2822054784526,0,371,371,0,1.9119926718926945,1.1826287121960435,100,0,100,42.32283333333333,39.213434362477244,18.270540405176746,-1.3063859623802898,-12.213213320889196,-80.79752366001384
21,100,100,20,100,0.9,0.3,0.3,1.1140100476634813,1000,38,7,55,968.6672172837331,968.6672172837331,0,377,377,0,1.9879926718926946,1.2485927004558155,100,0,100,41.36116666666666,36.71795686692951,24.50223227853948,14.753240579734978,-5.391441298990543,-80.79752366001384
22,100,100,20,100,0.9,0.3,0.3,1.1588533844334026,1000,36,8,56,845.9776174663835,845.9776174663835,0,355,355,0,2.063492671892695,1.314067326758226,100,0,100,42.45116666666666,38.8962648444691,12.029623059943248,3.1770727684938436,-9.742687293781756,-80.79752366001384
23,100,100,20,100,0.9,0.3,0.3,1.2018947628127679,1000,37,5,58,985.0529402688243,985.0529402688243,0,381,381,0,2.132256576740296,1.3800673267582257,100,0,100,39.03033333333333,34.485898290450365,23.65600083115237,6.291829227826952,-15.085593851323438,-80.79752366001384
24,100,100,20,100,0.9,0.3,0.3,1.2420202810064385,1000,36,6,58,908.3871994993337,908.3871994993337,0,354,354,0,2.2122565767402955,1.4444673267582255,100,0,100,39.770833333333336,34.25882848912454,14.199397967146865,5.098126286823003,-10.566118742267122,-80.79752366001384
25,100,100,20,100,0.9,0.3,0.3,1.2804332010638477,1000,35,6,59,954.2799614949039,954.2799614949039,0,379,379,0,2.2595488000108546,1.508867326758226,100,0,100,40.41833333333334,40.7864079212454,24.334038331198457,6.379928173578406,-4.798289060693804,-80.79752366001384
26,100,100,20,100,0.9,0.3,0.3,1.3228879795023676,1000,33,8,59,1026.8969365367386,1026.8969365367386,0,405,405,0,2.313048800010855,1.5835673267582258,100,0,100,39.351,32.61697290809977,17.181333629924353,11.165486711228851,-5.316450323177122,-80.79752366001384
27,100,100,20,100,0.9,0.3,0.3,1.3688380641968947,1000,33,7,60,1105.4510756644747,1105.4510756644747,0,409,409,0,2.3930488000108547,1.6687673267582257,100,0,100,37.041666666666664,32.80588693613586,13.764907550814343,5.4246511810978575,-5.9077071495660505,-80.79752366001384
28,100,100,20,100,0.9,0.3,0.3,1.4045744344322055,1000,31,8,61,1017.6305140243246,1017.6305140243246,0,403,403,0,2.4350488000108554,1.7377690583732175,100,0,100,38.7295,32.611170118711186,2.900703919166375,0.7181949042211215,-16.571777280826865,-80.79752366001384
29,100,100,20,100,0.9,0.3,0.3,1.4396020023967446,1000,33,6,61,1065.9348011672241,1065.9348011672241,0,394,394,0,2.5050488000108557,1.8081410396577555,100,0,100,38.083666666666666,31.561390509488888,2.3092576629267683,7.256170372846611,-0.4679797396615868,-80.79752366001384
30,100,100,20,100,0.9,0.3,0.3,1.4755747775014039,1000,31,7,62,1091.4383341824637,1091.4383341824637,0,426,426,0,2.5530488000108558,1.883420902494244,100,0,100,36.830999999999996,35.648022014587724,8.575274867787925,10.101364466138534,3.499204764530873,-80.79752366001384
31,100,100,20,100,0.9,0.3,0.3,1.5102634031860604,1000,30,7,63,1095.9171968772991,1095.9171968772991,0,413,413,0,2.6137479410001827,1.9589235303719537,100,0,100,36.89183333333333,28.196739676782272,-0.3836878166905535,-2.004137379946485,-10.31691310261266,-80.79752366001384
32,100,100,20,100,0.9,0.3,0.3,1.5358788207203742,1000,28,8,64,1050.627102495276,1050.627102495276,0,388,388,0,2.6602479410001827,2.016310914772957,100,0,100,38.42783333333334,5.941086388076258,-20.028282550978304,-18.36059545550677,-24.18055198137057,-80.79752366001384
33,100,100,20,100,0.9,0.3,0.3,1.5610504528267721,1000,28,9,63,1071.2307886585293,1071.2307886585293,0,412,412,0,2.6942479410001825,2.0743266792605493,100,0,100,38.602333333333334,17.40670176501294,-5.816373581301889,-4.697409761951008,-20.12905639284753,-80.79752366001384
34,100,100,20,100,0.9,0.3,0.3,1.5866379550957934,1000,28,9,63,1069.2037817529438,1069.2037817529438,0,412,412,0,2.740747941000183,2.1350266792605495,100,0,100,37.04783333333333,15.850634995217604,-9.65890821077113,-13.022162236610427,-19.139541330431484,-80.79752366001384
35,100,100,20,100,0.9,0.3,0.3,1.6110508302900841,1000,28,8,64,1154.1045173251514,1154.1045173251514,0,436,436,0,2.7932479410001827,2.19455489567743,100,0,100,37.1275,27.1777568550674,0.2925412575024211,7.353239587561063,3.938417680494524,-80.79752366001384
36,100,100,20,100,0.9,0.3,0.3,1.6362861975074021,1000,25,8,67,1126.957019202904,1126.957019202904,0,439,439,0,2.8552479410001834,2.2578638094075316,100,0,100,35.10233333333334,25.862571525214094,-9.083523801984825,-8.903815406542776,-19.453364156747057,-80.79752366001384
37,100,100,20,100,0.9,0.3,0.3,1.6581485238044493,1000,25,6,69,1142.5284510308866,1142.5284510308866,0,435,435,0,2.9392479410001835,2.314076128743986,100,0,100,36.13166666666667,5.297315451451766,-8.975339613144683,-12.017323072891429,-20.721321980005882,-80.79752366001384
38,100,100,20,100,0.9,0.3,0.3,1.680036802406461,1000,24,7,69,1172.5485563420832,1172.5485563420832,0,430,430,0,3.0162479410001835,2.3717580179363704,100,0,100,36.08633333333333,22.477564490612053,2.7569518148663406,7.8346584432940745,10.273814400365495,-80.79752366001384
39,100,100,20,100,0.9,0.3,0.3,1.703204494701102,1000,22,8,70,1247.424081015286,1247.424081015286,0,451,451,0,3.0827479410001835,2.434424686892371,100,0,100,34.05566666666667,3.1879431544493286,-9.498644800290776,-6.670166681981925,-8.891399796684993,-80.79752366001384
40,100,100,20,100,0.9,0.3,0.3,1.7241587754125645,1000,20,10,70,1206.4555307308167,1206.4555307308167,0,441,441,0,3.1457479410001836,2.4924553639558384,100,0,100,36.63416666666667,5.3686023903565,-18.582726132185996,-16.5833750954165,-20.88398777049531,-80.79752366001384
41,100,100,20,100,0.9,0.3,0.3,1.7446455622060806,1000,19,10,71,1242.1454932176011,1242.1454932176011,0,458,458,0,3.2097479410001837,2.5505129358796963,100,0,100,33.6425,15.255080174363343,-26.531564029915046,-20.266016997511315,-28.460548306250246,-80.79752366001384
