steps,num_customers,num_products,num_retailers,num_customers_willing_to_share_info,learning_rate_gen_ai,learning_rate_customer,capacity_gen_ai,creativity_gen_ai,total_steps,LowSatisfaction,MediumSatisfaction,HighSatisfaction,Sales,Sales (Willing),Sales (Unwilling),Sold Products,Sold Products (Willing),Sold Products (Unwilling),Average Seller Rating,Average Satisfaction,Willing to Share Customers,Unwilling to Share Customers,Number of Products,mean_viewed_comments,mean_purchase_position,AIC Linear (Sum),AIC Quadratic (Sum),AIC Cubic (Sum),AIC Quartic (Sum),AIC Quartic (Minimum)
1,100,100,20,0,0.3,0.3,0.9,0.2881183336826264,1000,34,66,0,297.40414379774074,0,297.40414379774074,200,0,200,0.5430005820966841,0.4797306916173341,0,100,100,2.66,57.58583333333334,-78.6737267525881,-79.07396863896179,-73.72933413404076,-66.98747763325662,-79.07396863896179
2,100,100,20,0,0.3,0.3,0.9,0.2838048052181836,1000,38,54,8,307.3981720990893,0,307.3981720990893,200,0,200,0.6715005820966837,0.47293069161733414,0,100,100,2.73,54.29233333333334,-66.82276322115334,-63.168684325656216,-63.955424577758606,-59.98632519351776,-79.07396863896179
3,100,100,20,0,0.3,0.3,0.9,0.27837997528665365,1000,47,43,10,302.43052714848244,0,302.43052714848244,197,0,197,0.8079477788869325,0.4645306916173341,0,100,100,2.71,55.6135,-72.79866729195106,-73.87639710932814,-70.29775418099769,-65.40430708820276,-79.07396863896179
4,100,100,20,0,0.3,0.3,0.9,0.27680501908912497,1000,48,35,17,333.7084352078285,0,333.7084352078285,199,0,199,0.953096419212974,0.462104709364266,0,100,100,2.72,53.162,-56.61379466037653,-66.64595420855636,-60.00637827016084,-61.51087887855971,-79.07396863896179
5,100,100,20,0,0.3,0.3,0.9,0.27248244374218566,1000,50,31,19,330.3705189388288,0,330.3705189388288,193,0,193,1.0497535684862525,0.45554100825821,0,100,100,2.65,57.44166666666667,-50.57577912829538,-49.67596569457049,-46.185445065845954,-51.9410005311928,-79.07396863896179
6,100,100,20,0,0.3,0.3,0.9,0.27173860214617046,1000,55,23,22,336.49701817908857,0,336.49701817908857,199,0,199,1.100902439606275,0.4544143007291882,0,100,100,2.64,54.92033333333333,-49.48463925271267,-48.11816643296862,-52.62483327957932,-50.550348236535456,-79.07396863896179
7,100,100,20,0,0.3,0.3,0.9,0.2709399873400936,1000,56,21,23,298.23192128102414,0,298.23192128102414,178,0,178,1.1391719584456304,0.45320783909408613,0,100,100,2.78,57.56183333333333,-24.49816547859855,-24.227024904385402,-33.83100525226581,-34.63878057857079,-79.07396863896179
8,100,100,20,0,0.3,0.3,0.9,0.2771032277513391,1000,55,22,23,294.1769752985512,0,294.1769752985512,188,0,188,1.1586719584456306,0.46271389569676324,0,100,100,2.76,54.48,-14.678177039647736,-27.709221685702587,-35.68094354006223,-32.318973002815085,-79.07396863896179
9,100,100,20,0,0.3,0.3,0.9,0.28514899463011384,1000,55,21,24,278.9245140976726,0,278.9245140976726,181,0,181,1.1846719584456307,0.4754655112378197,0,100,100,2.77,55.782666666666664,1.5888543626022624,-9.569029736644467,-13.383348599332152,-10.340711971934695,-79.07396863896179
10,100,100,20,0,0.3,0.3,0.9,0.2963710047648344,1000,56,19,25,333.5782381870958,0,333.5782381870958,194,0,194,1.2436772561115537,0.49394226145105485,0,100,100,2.74,55.064666666666675,-0.22808330946961064,-9.703285668140438,-12.295532143346946,-6.996010583651639,-79.07396863896179
11,100,100,20,0,0.3,0.3,0.9,0.3033683043435686,1000,58,19,23,281.6744863782227,0,281.6744863782227,187,0,187,1.2557843635106596,0.5057382686994564,0,100,100,2.72,56.07983333333333,0.050688021164717156,-14.574939106529683,-17.99851723649482,-18.490212935082184,-79.07396863896179
12,100,100,20,0,0.3,0.3,0.9,0.3119539155895003,1000,57,20,23,263.8995958045785,0,263.8995958045785,183,0,183,1.2552843635106599,0.5206382610636237,0,100,100,2.82,57.40316666666666,4.05620820224928,-26.366715323880754,-24.052456119194346,-25.688895497970066,-79.07396863896179
13,100,100,20,0,0.3,0.3,0.9,0.3207899743571986,1000,60,16,24,270.2829721011133,0,270.2829721011133,183,0,183,1.26778436351066,0.5364382610636238,0,100,100,2.79,56.57866666666667,-1.761147880645808,-11.353550403234664,-21.421317405377607,-18.83374190754239,-79.07396863896179
14,100,100,20,0,0.3,0.3,0.9,0.33089603302706994,1000,61,15,24,295.91802185359154,0,295.91802185359154,185,0,185,1.2723265247075637,0.5551391573783179,0,100,100,2.72,57.52616666666667,-4.709262771798365,-13.064742989670776,-18.30600033961835,-28.232421965156277,-79.07396863896179
15,100,100,20,0,0.3,0.3,0.9,0.34246097001447323,1000,60,16,24,311.8100384987249,0,311.8100384987249,198,0,198,1.272326524707564,0.5773977181346432,0,100,100,2.74,57.03866666666667,-3.5454619349958705,-3.3655642774414503,-2.7225445608024472,-0.8895208068926195,-79.07396863896179
16,100,100,20,0,0.3,0.3,0.9,0.35323667223896493,1000,59,15,26,277.4653789002721,0,277.4653789002721,184,0,184,1.2773265247075638,0.5989099697800746,0,100,100,2.76,56.51983333333334,7.144580535857642,-2.8496696173610303,-4.532895940007251,-1.7890417251884685,-79.07396863896179
17,100,100,20,0,0.3,0.3,0.9,0.36490991355241453,1000,59,15,26,315.4662656337235,0,315.4662656337235,182,0,182,1.298326524707564,0.6231575305480087,0,100,100,2.68,55.69716666666666,-1.8707067723314879,-4.118796556958699,0.46402102533815537,-1.2943302857008803,-79.07396863896179
18,100,100,20,0,0.3,0.3,0.9,0.37623586250771784,1000,60,14,26,297.482719367253,0,297.482719367253,195,0,195,1.310826524707564,0.6476067332268003,0,100,100,2.67,56.95733333333334,-7.883773292935302,-16.479712352167468,-8.946735545005453,-6.75373458906185,-79.07396863896179
19,100,100,20,0,0.3,0.3,0.9,0.3865323796316196,1000,59,14,27,330.2421963175068,0,330.2421963175068,200,0,200,1.319326524707564,0.6706236944038797,0,100,100,2.73,54.60583333333333,3.952939517889604,2.779764671531126,0.632077372543904,0.9458551223620475,-79.07396863896179
20,100,100,20,0,0.3,0.3,0.9,0.3960407069318305,1000,60,13,27,334.04965667598043,0,334.04965667598043,195,0,195,1.3288265247075641,0.6925744426728621,0,100,100,2.7,56.78566666666666,-2.1468509285606103,-11.804303972302534,-11.802183546006773,-6.149618045657263,-79.07396863896179
21,100,100,20,0,0.3,0.3,0.9,0.40592656654667025,1000,61,11,28,290.23426096487924,0,290.23426096487924,193,0,193,1.3308265247075641,0.716174442672862,0,100,100,2.68,55.878499999999995,6.4201001889758516,-7.138472002810829,-6.714448049622291,-12.071194027384564,-79.07396863896179
22,100,100,20,0,0.3,0.3,0.9,0.4134411214771612,1000,60,12,28,295.87212081735214,0,295.87212081735214,182,0,182,1.3313265247075645,0.7345744426728621,0,100,100,2.74,55.596333333333334,8.370312520058064,8.704643308101424,5.384095284037528,3.4579559489822316,-79.07396863896179
